words@lav1986m	lav1986m	45.825	46.118	и
words@lav1986m	lav1986m	46.118	46.411	она
words@lav1986m	lav1986m	46.411	46.704	сказала
words@lav1986m	lav1986m	46.704	46.997	/
words@lav1986m	lav1986m	46.997	47.29	побрейтесь
words@lav1986m	lav1986m	50.27	50.441	да
words@lav1986m	lav1986m	50.441	50.612	/
words@lav1986m	lav1986m	50.612	50.783	и
words@lav1986m	lav1986m	50.783	50.954	режиссер
words@lav1986m	lav1986m	50.954	51.125	/
words@lav1986m	lav1986m	51.125	51.296	конечно
words@lav1986m	lav1986m	51.296	51.467	/
words@lav1986m	lav1986m	51.467	51.638	был
words@lav1986m	lav1986m	51.638	51.809	в
words@lav1986m	lav1986m	51.809	51.98	шоке
words@lav1986m	lav1986m	51.98	52.151	/
words@lav1986m	lav1986m	52.151	52.322	потому
words@lav1986m	lav1986m	52.322	52.493	что
words@lav1986m	lav1986m	52.493	52.664	нельзя
words@lav1986m	lav1986m	52.664	52.835	ни
words@lav1986m	lav1986m	52.835	53.006	в
words@lav1986m	lav1986m	53.006	53.177	коем
words@lav1986m	lav1986m	53.177	53.348	случае
words@lav1986m	lav1986m	53.348	53.519	мне
words@lav1986m	lav1986m	53.519	53.69	брить
words@lav1986m	lav1986m	53.69	53.88	бороду
words@lav1986m	lav1986m	54.08	54.245	и
words@lav1986m	lav1986m	54.245	54.41	все
words@lav1986m	lav1986m	54.41	54.575	такое
words@lav1986m	lav1986m	54.575	54.74	/
words@lav1986m	lav1986m	54.74	54.905	естественно
words@lav1986m	lav1986m	54.905	55.07	/
words@lav1986m	lav1986m	55.07	55.235	меня
words@lav1986m	lav1986m	55.235	55.4	сняли
words@lav1986m	lav1986m	55.4	55.565	с
words@lav1986m	lav1986m	55.565	55.73	роли
words@lav1986m	lav1986m	57.06	57.478	я
words@lav1986m	lav1986m	57.478	57.896	приехал
words@lav1986m	lav1986m	57.896	58.314	домой
words@lav1986m	lav1986m	58.314	58.732	/
words@lav1986m	lav1986m	58.732	59.15	опечаленный
words@lav1986m	lav1986m	59.65	60.083	но
words@lav1986m	lav1986m	60.083	60.516	с
words@lav1986m	lav1986m	60.516	60.95	усами
words@lav1986m	lav1986m	62.03	62.227	посмотрел
words@lav1986m	lav1986m	62.227	62.424	на
words@lav1986m	lav1986m	62.424	62.621	ся
words@lav1986m	lav1986m	62.621	62.818	в
words@lav1986m	lav1986m	62.818	63.015	зеркало
words@lav1986m	lav1986m	63.015	63.212	/
words@lav1986m	lav1986m	63.212	63.409	подумал
words@lav1986m	lav1986m	63.409	63.606	/
words@lav1986m	lav1986m	63.606	63.803	а
words@lav1986m	lav1986m	63.803	64.0	че
words@lav1986m	lav1986m	64.0	64.2	?
words@lav1986m	lav1986m	64.67	65.12	третья
words@lav1986m	lav1986m	65.12	65.57	бровь
words@lav1986m	lav1986m	65.57	66.02	такая
words@lav1986m	lav1986m	68.175	68.8	и
words@lav1986m	lav1986m	68.8	69.425	оставил
words@lav1986m	lav1986m	70.785	71.012	есть
words@lav1986m	lav1986m	71.012	71.239	какая-то
words@lav1986m	lav1986m	71.239	71.466	взаимосвязь
words@lav1986m	lav1986m	71.466	71.693	между
words@lav1986m	lav1986m	71.693	71.92	тем
words@lav1986m	lav1986m	71.92	72.147	/
words@lav1986m	lav1986m	72.147	72.374	когда
words@lav1986m	lav1986m	72.374	72.601	появились
words@lav1986m	lav1986m	72.601	72.835	усы
words@lav1986m	lav1986m	73.255	73.675	на
words@lav1986m	lav1986m	73.675	74.095	твоем
words@lav1986m	lav1986m	74.095	74.515	лице
words@lav1986m	lav1986m	76.92	77.42	да
words@lav1986m	lav1986m	79.05	79.48	прямая
words@lav1986m	lav1986m	79.48	79.91	какая-то
words@lav1986m	lav1986m	92.15	92.91	дааа...
